رقم_المشارك,الاختصاص_المهني,عدد_سنوات_الخبرة,جهة_العمل,Q4_الخيار_العلاجي_الأول,Q5_أهمية_المرطبات,Q6_العائق_الأكثر_شيوعا,Q7_حالة_طفيلية,Q8_المظاهر_السريرية,Q9_التدبير_للحالات_المترافقة,Q10_تضمين_منتجات_طبيعية,Q11_ثقة_بالمنتجات_الطبيعية,Q12_معرفة_العكبر,Q13_تقييم_شمع_العسل,Q14_فعالية_المنتجات_الطبيعية,Q15_الموافقة_على_المرهم,Q16_العامل_الأهم,Q17_مخاوف_العكبر,Q18_الاستعداد_لتجربة,Q19_العامل_التشجيعي,Q20_مع_الكورتيكوستيرويدات,Q21_ملاحظات,درجة_المعرفة_%,درجة_الممارسة_%,فجوة_المعرفة_الممارسة,يفضل_طبيعي_على_الستيرويد,يستخدم_منتجات_طبيعية_حاليا,يوصي_بمنتجات_طبيعية_روتينيا
1,صيدلي,3-10 سنوات,صيدلية,مرطب علاجي,5,ضعف الالتزام,لا,جفاف شديد,كورتيكوستيرويد,أبداً,4,متوسطة,فعال جداً,غير فعالة,1,الفعالية المضادة للالتهاب,عدم ثبات,3,دراسات سريرية,ربما,,95.0,16.9,78.1,نعم,نعم,لا
2,ممرض,أقل من 3 سنوات,صيدلية,كورتيكوستيرويد موضعي,5,ضعف الالتزام,نعم,حكة شديدة ليلية,علاج الطفيلي أولاً,نادراً,2,متوسطة,فعال,متوسطة,2,دعم الحاجز الجلدي,احتمال التحسس,4,فعالية مثبتة,نعم,منتج طبيعي واعد للحالات المزمنة,60.0,56.6,3.4,لا,لا,لا
3,طبيب جلدية,أقل من 3 سنوات,مستشفى,مرطب علاجي,5,أخرى,نعم,حكة شديدة ليلية,مضاد هيستامين,نادراً,4,متوسطة,فعال,فعالة,2,الأمان العالي,احتمال التحسس,2,دراسات سريرية,ربما,يحتاج إلى دراسات سريرية أكثر,71.5,46.1,25.4,نعم,لا,لا
4,طالب,أقل من 3 سنوات,صيدلية,مرطب علاجي,4,الخوف من الستيرويدات,نعم,حكة شديدة ليلية,مضاد هيستامين,نادراً,2,متوسطة,متوسط,محدودة,5,خبرة سابقة,عدم ثبات,2,تكلفة,لا,أفضل كعلاج مساعد,95.0,40.1,54.9,لا,لا,نعم
5,صيدلي,3-10 سنوات,مركز صحي,مرطب علاجي,5,الخوف من الستيرويدات,نعم,آفات في ثنيات,كورتيكوستيرويد,دائماً/غالباً,4,جيدة جداً,فعال,فعالة,4,دعم الحاجز الجلدي,نقص الأدلة,1,ملف أمان,ربما,,64.3,31.5,32.8,نعم,نعم,لا
6,طالب,3-10 سنوات,أخرى,مرطب علاجي,5,ضعف الالتزام,لا,آفات في ثنيات,مضاد هيستامين,دائماً/غالباً,2,متوسطة,متوسط,فعالة,3,الفعالية المضادة للالتهاب,عدم ثبات,4,فعالية مثبتة,نعم,فعال في حالات خفيفة,86.7,34.6,52.1,لا,لا,لا
7,طبيب جلدية,أكثر من 10 سنوات,عيادة خاصة,كورتيكوستيرويد موضعي,4,الخوف من الستيرويدات,نعم,حكة شديدة ليلية,كورتيكوستيرويد,نادراً,3,متوسطة,لا أعرف,فعالة جداً,5,خبرة سابقة,احتمال التحسس,2,توصيات,ربما,فعال في حالات خفيفة,79.8,52.6,27.2,لا,لا,لا
8,طبيب جلدية,أقل من 3 سنوات,صيدلية,كورتيكوستيرويد موضعي,5,ضعف الالتزام,لا,التهاب ثانوي,علاج الطفيلي أولاً,نادراً,2,محدودة,فعال جداً,متوسطة,4,أخرى,نقص الأدلة,4,فعالية مثبتة,ربما,أفضل كعلاج مساعد,81.6,40.4,41.2,نعم,نعم,لا
9,ممرض,3-10 سنوات,مستشفى,مرطب علاجي,4,التكلفة,نعم,آفات في ثنيات,علاج الطفيلي أولاً,أحياناً,4,متوسطة,متوسط,متوسطة,1,الأمان العالي,نقص الأدلة,3,تكلفة,ربما,منتج طبيعي واعد للحالات المزمنة,69.0,34.2,34.8,نعم,نعم,لا
10,طبيب جلدية,أقل من 3 سنوات,مستشفى,أخرى,5,التكلفة,نعم,حكة شديدة ليلية,علاج الطفيلي أولاً,أبداً,2,جيدة جداً,فعال,فعالة,4,الفعالية المضادة للالتهاب,نقص الأدلة,4,ملف أمان,ربما,أفضل كعلاج مساعد,68.6,50.5,18.1,نعم,لا,لا
11,صيدلي,3-10 سنوات,مستشفى,مرطب علاجي,5,ضعف الالتزام,نعم,حكة شديدة ليلية,علاج الطفيلي أولاً,نادراً,2,جيدة جداً,فعال,محدودة,3,خبرة سابقة,نقص الأدلة,3,ملف أمان,نعم,,64.0,51.1,12.9,لا,لا,لا
12,صيدلي,3-10 سنوات,صيدلية,أخرى,5,ضعف الالتزام,نعم,حكة شديدة ليلية,علاج الطفيلي أولاً,دائماً/غالباً,2,لا أعرف,فعال,فعالة,2,دعم الحاجز الجلدي,نقص الأدلة,2,دراسات سريرية,نعم,أفضل كعلاج مساعد,53.8,21.6,32.2,لا,نعم,لا
13,ممرض,أقل من 3 سنوات,مستشفى,مرطب علاجي,4,ضعف الالتزام,نعم,التهاب ثانوي,كورتيكوستيرويد,أبداً,3,متوسطة,متوسط,فعالة,1,الأمان العالي,نقص الأدلة,1,دراسات سريرية,ربما,منتج طبيعي واعد للحالات المزمنة,64.4,52.2,12.2,نعم,لا,لا
14,صيدلي,3-10 سنوات,مركز صحي,مرطب علاجي,4,ضعف الالتزام,نعم,آفات في ثنيات,علاج الطفيلي أولاً,أبداً,2,متوسطة,متوسط,فعالة,3,دعم الحاجز الجلدي,نقص الأدلة,1,ملف أمان,نعم,مخاوف من الحساسية,68.9,75.0,-6.1,لا,لا,لا
15,صيدلي,أقل من 3 سنوات,مستشفى,مرطب علاجي,5,الخوف من الستيرويدات,نعم,آفات في ثنيات,كورتيكوستيرويد,أبداً,3,لا أعرف,متوسط,فعالة جداً,1,دعم الحاجز الجلدي,نقص الأدلة,3,ملف أمان,نعم,أفضل كعلاج مساعد,64.1,50.5,13.6,نعم,لا,لا
16,صيدلي,أكثر من 10 سنوات,عيادة خاصة,كورتيكوستيرويد موضعي,4,ضعف الالتزام,نعم,آفات في ثنيات,علاج الطفيلي أولاً,دائماً/غالباً,3,جيدة جداً,غير فعال,متوسطة,3,دعم الحاجز الجلدي,عدم ثبات,4,دراسات سريرية,لا,منتج طبيعي واعد للحالات المزمنة,93.0,15.0,78.0,لا,لا,نعم
17,ممرض,3-10 سنوات,مركز صحي,كورتيكوستيرويد موضعي,4,أخرى,نعم,آفات في ثنيات,كورتيكوستيرويد,نادراً,2,محدودة,متوسط,متوسطة,2,دعم الحاجز الجلدي,احتمال التحسس,3,ملف أمان,ربما,مخاوف من الحساسية,50.6,45.6,5.0,نعم,لا,نعم
18,طالب,3-10 سنوات,صيدلية,كورتيكوستيرويد موضعي,4,ضعف الالتزام,نعم,جفاف شديد,علاج الطفيلي أولاً,نادراً,2,متوسطة,لا أعرف,متوسطة,1,دعم الحاجز الجلدي,نقص الأدلة,1,تكلفة,ربما,أفضل كعلاج مساعد,95.0,15.0,80.0,لا,لا,لا
19,طالب,أكثر من 10 سنوات,صيدلية,مرطب علاجي,4,أخرى,نعم,حكة شديدة ليلية,علاج الطفيلي أولاً,نادراً,2,جيدة جداً,متوسط,فعالة,4,الأمان العالي,نقص الأدلة,4,ملف أمان,ربما,منتج طبيعي واعد للحالات المزمنة,58.0,75.0,-17.0,نعم,نعم,نعم
20,صيدلي,3-10 سنوات,مستشفى,كورتيكوستيرويد موضعي,4,ضعف الالتزام,نعم,آفات في ثنيات,علاج الطفيلي أولاً,أبداً,4,متوسطة,متوسط,فعالة,3,الأمان العالي,عدم ثبات,2,فعالية مثبتة,ربما,يحتاج إلى دراسات سريرية أكثر,74.1,75.0,-0.9,لا,نعم,لا
21,صيدلي,أقل من 3 سنوات,صيدلية,كورتيكوستيرويد موضعي,4,ضعف الالتزام,لا,حكة شديدة ليلية,كورتيكوستيرويد,نادراً,2,محدودة,فعال,فعالة جداً,3,الفعالية المضادة للالتهاب,نقص الأدلة,2,فعالية مثبتة,ربما,مخاوف من الحساسية,72.0,31.4,40.6,لا,لا,لا
22,صيدلي,3-10 سنوات,مركز صحي,مرطب علاجي,5,ضعف الالتزام,نعم,حكة شديدة ليلية,علاج الطفيلي أولاً,أبداً,3,متوسطة,فعال جداً,محدودة,4,خبرة سابقة,عدم ثبات,2,توصيات,ربما,منتج طبيعي واعد للحالات المزمنة,70.5,15.0,55.5,لا,لا,لا
23,طبيب جلدية,3-10 سنوات,مستشفى,مرطب علاجي,5,التكلفة,نعم,حكة شديدة ليلية,مستحضر طبيعي,أبداً,2,لا أعرف,متوسط,فعالة جداً,3,الأمان العالي,لا توجد,3,ملف أمان,نعم,يحتاج إلى دراسات سريرية أكثر,65.6,27.8,37.8,نعم,نعم,لا
24,ممرض,أكثر من 10 سنوات,أخرى,مرطب علاجي,4,التهيج,نعم,حكة شديدة ليلية,علاج الطفيلي أولاً,أبداً,4,متوسطة,فعال,متوسطة,3,الفعالية المضادة للالتهاب,نقص الأدلة,2,فعالية مثبتة,نعم,منتج طبيعي واعد للحالات المزمنة,54.7,39.6,15.1,لا,لا,لا
25,ممرض,أكثر من 10 سنوات,صيدلية,مثبطات الكالسينيورين,5,الخوف من الستيرويدات,لا,حكة شديدة ليلية,علاج الطفيلي أولاً,أحياناً,2,محدودة,فعال,غير فعالة,4,دعم الحاجز الجلدي,احتمال التحسس,3,توصيات,ربما,,77.7,15.0,62.7,لا,لا,نعم
26,صيدلي,3-10 سنوات,صيدلية,كورتيكوستيرويد موضعي,5,ضعف الالتزام,نعم,حكة شديدة ليلية,أخرى,أحياناً,4,متوسطة,غير فعال,متوسطة,3,الفعالية المضادة للالتهاب,نقص الأدلة,3,تكلفة,ربما,أفضل كعلاج مساعد,81.5,41.4,40.1,نعم,لا,لا
27,طالب,3-10 سنوات,عيادة خاصة,أخرى,5,ضعف الالتزام,نعم,التهاب ثانوي,كورتيكوستيرويد,أحياناً,4,محدودة,فعال,غير فعالة,3,دعم الحاجز الجلدي,احتمال التحسس,4,دراسات سريرية,نعم,يحتاج إلى دراسات سريرية أكثر,67.5,39.4,28.1,لا,لا,لا
28,طبيب جلدية,3-10 سنوات,صيدلية,مرطب علاجي,5,التكلفة,لا,حكة شديدة ليلية,علاج الطفيلي أولاً,أبداً,2,متوسطة,فعال,فعالة,5,خبرة سابقة,نقص الأدلة,3,ملف أمان,نعم,يحتاج إلى دراسات سريرية أكثر,59.0,44.7,14.3,لا,لا,نعم
29,ممرض,أكثر من 10 سنوات,مستشفى,مثبطات الكالسينيورين,4,الخوف من الستيرويدات,لا,حكة شديدة ليلية,كورتيكوستيرويد,دائماً/غالباً,3,جيدة جداً,متوسط,محدودة,4,الفعالية المضادة للالتهاب,مخاوف الجودة,2,دراسات سريرية,نعم,فعال في حالات خفيفة,95.0,46.5,48.5,نعم,نعم,لا
30,صيدلي,3-10 سنوات,مستشفى,كورتيكوستيرويد موضعي,5,أخرى,لا,جفاف شديد,كورتيكوستيرويد,نادراً,4,جيدة جداً,متوسط,متوسطة,3,الفعالية المضادة للالتهاب,احتمال التحسس,3,دراسات سريرية,نعم,مخاوف من الحساسية,66.7,26.4,40.3,لا,نعم,لا
31,طبيب جلدية,أقل من 3 سنوات,مركز صحي,مرطب علاجي,5,ضعف الالتزام,نعم,جفاف شديد,كورتيكوستيرويد,أحياناً,2,جيدة جداً,فعال,متوسطة,2,الفعالية المضادة للالتهاب,احتمال التحسس,2,ملف أمان,ربما,يحتاج إلى دراسات سريرية أكثر,50.3,28.3,22.0,لا,نعم,لا
32,صيدلي,أقل من 3 سنوات,مستشفى,كورتيكوستيرويد موضعي,4,الخوف من الستيرويدات,نعم,حكة شديدة ليلية,علاج الطفيلي أولاً,نادراً,2,جيدة جداً,متوسط,فعالة جداً,3,الفعالية المضادة للالتهاب,احتمال التحسس,2,فعالية مثبتة,نعم,مخاوف من الحساسية,80.1,43.4,36.7,لا,نعم,لا
33,ممرض,أقل من 3 سنوات,مركز صحي,كورتيكوستيرويد موضعي,4,التهيج,نعم,آفات في ثنيات,علاج الطفيلي أولاً,أبداً,3,جيدة جداً,متوسط,فعالة,3,الفعالية المضادة للالتهاب,عدم ثبات,2,فعالية مثبتة,ربما,يحتاج إلى دراسات سريرية أكثر,56.2,32.0,24.2,نعم,لا,لا
34,صيدلي,أقل من 3 سنوات,عيادة خاصة,مثبطات الكالسينيورين,5,التكلفة,نعم,آفات في ثنيات,كورتيكوستيرويد,أبداً,4,محدودة,فعال جداً,فعالة,5,الفعالية المضادة للالتهاب,نقص الأدلة,1,دراسات سريرية,ربما,يحتاج إلى دراسات سريرية أكثر,91.5,57.8,33.7,نعم,لا,لا
35,طبيب جلدية,3-10 سنوات,مركز صحي,مرطب علاجي,5,أخرى,نعم,حكة شديدة ليلية,مستحضر طبيعي,أحياناً,4,متوسطة,فعال جداً,متوسطة,4,الفعالية المضادة للالتهاب,احتمال التحسس,2,تكلفة,ربما,منتج طبيعي واعد للحالات المزمنة,69.5,43.2,26.3,لا,نعم,لا
36,صيدلي,3-10 سنوات,مستشفى,مرطب علاجي,5,ضعف الالتزام,لا,التهاب ثانوي,كورتيكوستيرويد,أبداً,2,محدودة,متوسط,محدودة,4,الأمان العالي,مخاوف الجودة,4,ملف أمان,ربما,,77.6,73.9,3.7,لا,لا,نعم
37,طالب,أقل من 3 سنوات,مركز صحي,كورتيكوستيرويد موضعي,5,ضعف الالتزام,نعم,جفاف شديد,علاج الطفيلي أولاً,نادراً,2,لا أعرف,فعال,متوسطة,3,الأمان العالي,عدم ثبات,5,فعالية مثبتة,نعم,يحتاج إلى دراسات سريرية أكثر,38.9,56.4,-17.5,لا,نعم,لا
38,ممرض,أقل من 3 سنوات,أخرى,مثبطات الكالسينيورين,5,ضعف الالتزام,لا,حكة شديدة ليلية,كورتيكوستيرويد,أحياناً,3,متوسطة,فعال جداً,فعالة جداً,2,الفعالية المضادة للالتهاب,احتمال التحسس,2,تكلفة,ربما,أفضل كعلاج مساعد,50.2,61.1,-10.9,لا,لا,لا
39,طبيب جلدية,أقل من 3 سنوات,مستشفى,مرطب علاجي,5,أخرى,نعم,حكة شديدة ليلية,كورتيكوستيرويد,نادراً,3,محدودة,فعال,محدودة,2,الفعالية المضادة للالتهاب,نقص الأدلة,4,ملف أمان,نعم,مخاوف من الحساسية,87.3,44.8,42.5,لا,لا,نعم
40,ممرض,3-10 سنوات,صيدلية,مرطب علاجي,4,الخوف من الستيرويدات,لا,التهاب ثانوي,علاج الطفيلي أولاً,نادراً,4,محدودة,فعال,فعالة,3,الأمان العالي,عدم ثبات,3,دراسات سريرية,نعم,أفضل كعلاج مساعد,72.9,45.2,27.7,لا,نعم,لا
41,صيدلي,3-10 سنوات,مستشفى,مستحضر طبيعي,5,ضعف الالتزام,نعم,آفات في ثنيات,علاج الطفيلي أولاً,أحياناً,4,متوسطة,فعال,فعالة,1,دعم الحاجز الجلدي,نقص الأدلة,1,فعالية مثبتة,لا,,69.1,71.7,-2.6,لا,لا,لا
42,طبيب جلدية,3-10 سنوات,مركز صحي,مرطب علاجي,5,الخوف من الستيرويدات,نعم,آفات في ثنيات,كورتيكوستيرويد,نادراً,2,متوسطة,فعال,فعالة,4,دعم الحاجز الجلدي,احتمال التحسس,4,دراسات سريرية,نعم,مخاوف من الحساسية,75.3,36.2,39.1,نعم,نعم,لا
43,صيدلي,أكثر من 10 سنوات,مركز صحي,كورتيكوستيرويد موضعي,4,الخوف من الستيرويدات,لا,آفات في ثنيات,علاج الطفيلي أولاً,أحياناً,4,متوسطة,فعال,متوسطة,5,الأمان العالي,احتمال التحسس,3,دراسات سريرية,نعم,,60.7,51.8,8.9,لا,لا,لا
44,طالب,3-10 سنوات,مستشفى,مثبطات الكالسينيورين,4,ضعف الالتزام,نعم,آفات في ثنيات,علاج الطفيلي أولاً,أحياناً,3,متوسطة,فعال,فعالة,1,خبرة سابقة,احتمال التحسس,5,فعالية مثبتة,ربما,منتج طبيعي واعد للحالات المزمنة,92.7,38.1,54.6,لا,لا,لا
45,طبيب جلدية,أكثر من 10 سنوات,مركز صحي,كورتيكوستيرويد موضعي,4,ضعف الالتزام,نعم,التهاب ثانوي,علاج الطفيلي أولاً,أحياناً,3,متوسطة,متوسط,متوسطة,1,الفعالية المضادة للالتهاب,عدم ثبات,1,دراسات سريرية,نعم,أفضل كعلاج مساعد,82.7,38.1,44.6,لا,نعم,لا
46,صيدلي,أكثر من 10 سنوات,مركز صحي,كورتيكوستيرويد موضعي,4,ضعف الالتزام,لا,التهاب ثانوي,علاج الطفيلي أولاً,أحياناً,2,متوسطة,فعال جداً,محدودة,3,دعم الحاجز الجلدي,مخاوف الجودة,5,فعالية مثبتة,ربما,فعال في حالات خفيفة,68.8,23.0,45.8,نعم,لا,لا
47,طالب,3-10 سنوات,صيدلية,مرطب علاجي,5,التهيج,لا,جفاف شديد,علاج الطفيلي أولاً,أحياناً,3,محدودة,متوسط,فعالة جداً,2,الفعالية المضادة للالتهاب,احتمال التحسس,5,دراسات سريرية,نعم,,52.9,30.1,22.8,نعم,نعم,لا
48,صيدلي,أقل من 3 سنوات,مستشفى,كورتيكوستيرويد موضعي,5,أخرى,نعم,آفات في ثنيات,أخرى,نادراً,3,محدودة,فعال,متوسطة,3,أخرى,احتمال التحسس,3,تكلفة,لا,منتج طبيعي واعد للحالات المزمنة,78.9,27.0,51.9,نعم,نعم,لا
49,طبيب جلدية,3-10 سنوات,مستشفى,كورتيكوستيرويد موضعي,5,الخوف من الستيرويدات,نعم,جفاف شديد,مضاد هيستامين,نادراً,3,جيدة جداً,غير فعال,فعالة,3,دعم الحاجز الجلدي,احتمال التحسس,3,دراسات سريرية,ربما,,62.2,52.6,9.6,لا,لا,لا
50,ممرض,3-10 سنوات,مستشفى,مرطب علاجي,5,الخوف من الستيرويدات,نعم,آفات في ثنيات,علاج الطفيلي أولاً,نادراً,3,متوسطة,فعال,فعالة,2,دعم الحاجز الجلدي,احتمال التحسس,2,توصيات,ربما,يحتاج إلى دراسات سريرية أكثر,51.6,60.1,-8.5,لا,نعم,لا
